PAGOS;MONTO;COMUNA;REGION;URBANIDAD;FPAGO;TIPOBENEFICIO;COBROMARZO;FEC_NAC;FEC_DEF;FALLECIDO;SEXO;ECIVIL;NACIONALIDAD;ESTADO;NOCOBRO
1;15869;TALCA;MAULE;URBANO;CORREO;SAFEM;NO;;;NO;M;SOLTERO;C;CADUCADO;1
1;198079;VIÑA DEL MAR;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;16/02/1936;;NO;F;CASADO;C;CADUCADO;1
1;279796;VALLENAR;ATACAMA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;12/12/1931;;NO;F;CASADO;C;PAGADO;0
1;108932;COQUIMBO;COQUIMBO;URBANO;CORREO;ASIGNACIONES FAMILIARES;NO;11/01/1933;;NO;M;CASADO;C;CADUCADO;1
1;156937;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;23/01/1907;;NO;M;SOLTERO;C;PAGADO;0
1;20748;COQUIMBO;COQUIMBO;URBANO;CORREO;ASIGNACIONES FAMILIARES;SI;10/03/1947;;NO;F;;C;CADUCADO;1
1;713189;ÑUÑOA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;6/03/1924;;NO;F;SOLTERO;C;CADUCADO;1
1;176096;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;21/04/1912;;NO;F;SOLTERO;C;PAGADO;0
1;176096;CASTRO;LOS LAGOS;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;20/01/1941;;NO;M;SOLTERO;C;CADUCADO;1
2;609143;EL BOSQUE;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;15/06/1919;;NO;F;;C;PAGADO;0
1;176096;ARICA;ARICA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;15/08/1920;;NO;F;SOLTERO;C;PAGADO;0
1;170277;SAN PEDRO DE LA PAZ;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;20/07/1915;;NO;F;CASADO;C;CADUCADO;1
1;99278;CONCEPCION;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;SI;10/09/1919;;NO;F;CASADO;C;CADUCADO;1
1;234582;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;10/11/1919;;NO;M;CASADO;C;CADUCADO;1
1;242441;CALAMA;ANTOFAGASTA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;7/01/1945;;NO;F;SOLTERO;C;PAGADO;0
1;190469;LA REINA;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;26/08/1918;;NO;F;CASADO;C;CADUCADO;1
1;4969;CASABLANCA;VALPARAISO;SEMIURBANO;CORREO;SAFEM;SI;25/09/1926;;NO;M;CASADO;C;CADUCADO;1
1;305434;TEMUCO;LA ARAUCANIA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;18/10/1927;;NO;F;SOLTERO;C;CADUCADO;1
1;481128;SAN BERNARDO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;13/08/1922;;NO;F;CASADO;C;PAGADO;0
1;298409;VALPARAISO;VALPARAISO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;15/11/1921;;NO;M;CASADO;C;PAGADO;0
1;298402;MAIPU;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;23/09/1920;13/05/2022;SI;F;SOLTERO;C;PAGADO;0
1;301414;PUENTE ALTO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;20/02/1922;;NO;M;CASADO;C;CADUCADO;1
1;298403;CONCEPCION;BIO-BIO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;10/05/1935;;NO;F;CASADO;C;PAGADO;0
1;28604;LAS CONDES;METROPOLITANA;URBANO;CORREO;SAFEM;NO;25/11/1920;;NO;M;CASADO;C;PAGADO;0
1;183094;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;20/06/1915;;NO;M;CASADO;C;CADUCADO;1
1;170273;OSORNO;LOS LAGOS;URBANO;CORREO;PREVISIONAL;NO;10/04/1939;;NO;F;CASADO;C;PAGADO;0
1;176096;EL QUISCO;VALPARAISO;SEMIURBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;27/06/1922;;NO;F;CASADO;C;PAGADO;0
2;285627;ÑUÑOA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;24/06/1918;;NO;F;CASADO;C;CADUCADO;1
1;168449;SANTIAGO;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;7/03/1921;10/03/2022;SI;F;SOLTERO;C;PAGADO;0
1;2446;ILLAPEL;COQUIMBO;SEMIURBANO;PLAZA DE PAGO;PREVISIONAL;NO;5/09/1932;;NO;F;;C;CADUCADO;1
1;313245;CONCHALI;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;11/07/1921;;NO;F;CASADO;C;PAGADO;0
1;176096;TEMUCO;LA ARAUCANIA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;2/01/1932;;NO;M;CASADO;C;CADUCADO;1
1;298407;LA LIGUA;VALPARAISO;SEMIURBANO;PLAZA DE PAGO;PREVISIONAL;SI;3/05/1941;;NO;F;SOLTERO;C;CADUCADO;1
1;170277;CHILLAN;ÑUBLE;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;27/03/1919;13/03/2022;SI;F;SOLTERO;C;PAGADO;0
1;397916;CONCHALI;METROPOLITANA;URBANO;CORREO;PREVISIONAL;NO;17/05/1920;;NO;F;CASADO;C;PAGADO;0
1;298409;QUINTA NORMAL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;3/11/1924;;NO;M;CASADO;C;PAGADO;0
1;181511;VILLA ALEMANA;VALPARAISO;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;25/10/1944;;NO;F;CASADO;C;PAGADO;0
1;298409;OVALLE;COQUIMBO;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;5/09/1920;;NO;M;CASADO;C;PAGADO;0
1;284646;QUINTA NORMAL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;23/03/1922;;NO;M;SOLTERO;C;CADUCADO;1
2;403959;LA FLORIDA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;3/03/1924;21/04/2022;SI;F;SOLTERO;C;PAGADO;0
1;176096;MELIPILLA;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;NO;22/10/1933;;NO;F;CASADO;C;CADUCADO;1
1;393955;INDEPENDENCIA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;8/01/1925;;NO;F;CASADO;C;CADUCADO;1
1;176096;LO BARNECHEA;METROPOLITANA;URBANO;PLAZA DE PAGO;PENSION BASICA SOLIDARIA;SI;24/10/1922;;NO;M;SOLTERO;C;PAGADO;0
1;328843;PEDRO AGUIRRE CERDA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;6/06/1923;;NO;F;CASADO;C;PAGADO;0
1;181272;LA FLORIDA;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;15/05/1924;;NO;M;CASADO;C;CADUCADO;1
1;290617;QUINTA NORMAL;METROPOLITANA;URBANO;PLAZA DE PAGO;PREVISIONAL;NO;10/10/1927;;NO;F;CASADO;C;PAGADO;0
